Text size,Langchain RecursiveCharacterTextSplitter,Our TextSpliter with 64 margin,Our TextSpliter with 256 margin,Our TextSpliter with 512 margin,Our TextSpliter with 1024 margin
2850,0.0,0.0,0.0,0.0010004043579101562,0.0
5700,0.0,0.0,0.0009989738464355469,0.0,0.0
8550,0.001001596450805664,0.0,0.0,0.0009982585906982422,0.0
11400,0.0,0.0,0.0010399818420410156,0.0,0.0
14250,0.0009603500366210938,0.0,0.0,0.0010001659393310547,0.0
17100,0.00099945068359375,0.0010008811950683594,0.0,0.0,0.0009987354278564453
19950,0.0010035037994384766,0.0,0.0010378360748291016,0.0,0.0
22800,0.0009584426879882812,0.0010018348693847656,0.0,0.0009984970092773438,0.0009989738464355469
25650,0.0020020008087158203,0.0009984970092773438,0.001001119613647461,0.0,0.0009987354278564453
28500,0.00099945068359375,0.0009999275207519531,0.0,0.00099945068359375,0.0
31350,0.0019998550415039062,0.0,0.0010001659393310547,0.0,0.0009996891021728516
34200,0.0020003318786621094,0.0,0.0,0.0009999275207519531,0.0010001659393310547
37050,0.0019996166229248047,0.0,0.0010001659393310547,0.0,0.0010006427764892578
39900,0.002000093460083008,0.0009999275207519531,0.00099945068359375,0.0,0.0009999275207519531
42750,0.002000093460083008,0.0010001659393310547,0.0,0.0009996891021728516,0.0010001659393310547
45600,0.0019998550415039062,0.0010001659393310547,0.0,0.0009996891021728516,0.0010025501251220703
48450,0.0030002593994140625,0.0019998550415039062,0.0,0.0009996891021728516,0.0009989738464355469
51300,0.004000186920166016,0.0009999275207519531,0.0009987354278564453,0.0,0.0009999275207519531
54150,0.003000497817993164,0.0010004043579101562,0.0009999275207519531,0.0009996891021728516,0.0010004043579101562
57000,0.0029993057250976562,0.0009999275207519531,0.0,0.0010001659393310547,0.002000093460083008
59850,0.003000497817993164,0.0009999275207519531,0.00099945068359375,0.0010004043579101562,0.0009996891021728516
62700,0.003000497817993164,0.0009996891021728516,0.0009999275207519531,0.0009999275207519531,0.0009999275207519531
65550,0.004000186920166016,0.001001119613647461,0.0009999275207519531,0.0009992122650146484,0.0020003318786621094
68400,0.0030002593994140625,0.0009992122650146484,0.0010001659393310547,0.0010006427764892578,0.0019996166229248047
71250,0.0039997100830078125,0.0010025501251220703,0.0009984970092773438,0.001999378204345703,0.0010027885437011719
74100,0.004997968673706055,0.0009992122650146484,0.002001047134399414,0.0009989738464355469,0.002001523971557617
76950,0.003999233245849609,0.0010006427764892578,0.0009982585906982422,0.002000093460083008,0.0010001659393310547
79800,0.00500035285949707,0.0009996891021728516,0.0010001659393310547,0.0010027885437011719,0.0019969940185546875
82650,0.004000663757324219,0.0010008811950683594,0.0009992122650146484,0.0019991397857666016,0.00099945068359375
85500,0.005000591278076172,0.0009999275207519531,0.0010006427764892578,0.0019996166229248047,0.0009996891021728516
88350,0.004999876022338867,0.0010004043579101562,0.0010013580322265625,0.001998424530029297,0.002001047134399414
91200,0.003998994827270508,0.00099945068359375,0.0010023117065429688,0.0019979476928710938,0.0019998550415039062
94050,0.004001617431640625,0.001998424530029297,0.0009996891021728516,0.0010004043579101562,0.0020008087158203125
96900,0.004999399185180664,0.0010004043579101562,0.0010004043579101562,0.002000093460083008,0.001999378204345703
99750,0.00500035285949707,0.0019996166229248047,0.0009999275207519531,0.0019998550415039062,0.0010008811950683594
102600,0.005998849868774414,0.0010001659393310547,0.0019998550415039062,0.002000093460083008,0.002001523971557617
105450,0.0059986114501953125,0.0009999275207519531,0.002000570297241211,0.0019998550415039062,0.0020012855529785156
108300,0.004998207092285156,0.002000570297241211,0.0020008087158203125,0.0019998550415039062,0.001999378204345703
111150,0.007000923156738281,0.0020008087158203125,0.000997781753540039,0.001999378204345703,0.0020008087158203125
114000,0.005998849868774414,0.0020008087158203125,0.0010020732879638672,0.001998424530029297,0.0019998550415039062
116850,0.006000518798828125,0.0019996166229248047,0.0010037422180175781,0.002038717269897461,0.002002716064453125
119700,0.0069561004638671875,0.0029993057250976562,0.0020012855529785156,0.0019979476928710938,0.001999378204345703
122550,0.006000041961669922,0.0020012855529785156,0.0019981861114501953,0.0009996891021728516,0.003000020980834961
125400,0.006001710891723633,0.002000570297241211,0.00099945068359375,0.002001047134399414,0.002999544143676758
128250,0.0060007572174072266,0.0019998550415039062,0.0010387897491455078,0.0020008087158203125,0.0029592514038085938
131100,0.006041765213012695,0.0019598007202148438,0.001998424530029297,0.0019989013671875,0.0030002593994140625
133950,0.007002592086791992,0.0019986629486083984,0.0019996166229248047,0.0020008087158203125,0.00299835205078125
136800,0.0070002079010009766,0.0009996891021728516,0.001999378204345703,0.0030019283294677734,0.0019998550415039062
139650,0.006998300552368164,0.0019998550415039062,0.002002239227294922,0.002997875213623047,0.0019998550415039062
142500,0.008002042770385742,0.002999544143676758,0.002001047134399414,0.0029993057250976562,0.0029997825622558594
145350,0.010001659393310547,0.001999378204345703,0.0019974708557128906,0.0019998550415039062,0.003000497817993164
148200,0.007000923156738281,0.003000020980834961,0.002002239227294922,0.002000570297241211,0.002995729446411133
151050,0.008000612258911133,0.0020003318786621094,0.0019991397857666016,0.003000974655151367,0.0030007362365722656
153900,0.006998777389526367,0.0019996166229248047,0.0030014514923095703,0.001998424530029297,0.003000020980834961
156750,0.008002281188964844,0.0019989013671875,0.0020003318786621094,0.002999544143676758,0.0030002593994140625
159600,0.007998466491699219,0.0030019283294677734,0.001999378204345703,0.0019991397857666016,0.004000663757324219
162450,0.007999181747436523,0.0019998550415039062,0.002000093460083008,0.003000974655151367,0.0029993057250976562
165300,0.007999420166015625,0.002001047134399414,0.0020046234130859375,0.0029954910278320312,0.0029990673065185547
168150,0.009001731872558594,0.001998424530029297,0.002000570297241211,0.0029993057250976562,0.003002643585205078
171000,0.008999824523925781,0.0019998550415039062,0.003003358840942383,0.0020377635955810547,0.003958940505981445
173850,0.009001016616821289,0.0019991397857666016,0.0029993057250976562,0.0030434131622314453,0.002996683120727539
176700,0.008959054946899414,0.0019989013671875,0.003000974655151367,0.0029990673065185547,0.003000020980834961
179550,0.009001731872558594,0.001998424530029297,0.0029997825622558594,0.0020024776458740234,0.003999233245849609
182400,0.008998394012451172,0.002001047134399414,0.0029990673065185547,0.003000974655151367,0.0029993057250976562
185250,0.00899958610534668,0.003000497817993164,0.001999378204345703,0.003001689910888672,0.003998756408691406
188100,0.010001659393310547,0.0019986629486083984,0.0029993057250976562,0.003002166748046875,0.0029993057250976562
190950,0.010000467300415039,0.0019979476928710938,0.0030002593994140625,0.0030019283294677734,0.002999544143676758
193800,0.009001016616821289,0.0029973983764648438,0.002000093460083008,0.004001617431640625,0.002999544143676758
196650,0.012000083923339844,0.0019986629486083984,0.004000663757324219,0.005001068115234375,0.004999399185180664
199500,0.011000394821166992,0.0030014514923095703,0.0029985904693603516,0.004042148590087891,0.0039577484130859375
202350,0.009999513626098633,0.002999544143676758,0.0019998550415039062,0.0040051937103271484,0.0039942264556884766
205200,0.01100015640258789,0.002000093460083008,0.0030007362365722656,0.0029990673065185547,0.004000663757324219
208050,0.009999275207519531,0.003000974655151367,0.001999378204345703,0.0039997100830078125,0.003000020980834961
210900,0.010999917984008789,0.002000570297241211,0.0029997825622558594,0.00400090217590332,0.003998994827270508
213750,0.01000070571899414,0.0029993057250976562,0.003000974655151367,0.004000425338745117,0.003998994827270508
216600,0.010001659393310547,0.0030014514923095703,0.002998828887939453,0.004203319549560547,0.004146575927734375
219450,0.010914087295532227,0.002999544143676758,0.0030002593994140625,0.0029993057250976562,0.004000425338745117
222300,0.009996175765991211,0.0030007362365722656,0.003000020980834961,0.004003763198852539,0.003995656967163086
225150,0.010999917984008789,0.003000020980834961,0.0030002593994140625,0.0039997100830078125,0.0050013065338134766
228000,0.01100015640258789,0.0029985904693603516,0.00400090217590332,0.0029990673065185547,0.004999876022338867
230850,0.012001991271972656,0.0030002593994140625,0.004000186920166016,0.0029976367950439453,0.005002498626708984
233700,0.011997699737548828,0.004000186920166016,0.005003452301025391,0.003996133804321289,0.005001544952392578
236550,0.014000177383422852,0.0029993057250976562,0.0030019283294677734,0.0039997100830078125,0.005038022994995117
239400,0.011961221694946289,0.0029981136322021484,0.004001617431640625,0.003999471664428711,0.003999233245849609
242250,0.012999773025512695,0.0030007362365722656,0.003000497817993164,0.004000425338745117,0.005000114440917969
245100,0.012998580932617188,0.002999544143676758,0.003999948501586914,0.004001617431640625,0.003998517990112305
247950,0.012000083923339844,0.003000020980834961,0.003999948501586914,0.0039997100830078125,0.005002260208129883
250800,0.01199793815612793,0.003999948501586914,0.0040013790130615234,0.004000425338745117,0.0049991607666015625
253650,0.021503686904907227,0.0030031204223632812,0.00400090217590332,0.0039997100830078125,0.011002063751220703
256500,0.02199840545654297,0.0030488967895507812,0.0039517879486083984,0.004044055938720703,0.004954814910888672
259350,0.012999296188354492,0.004000186920166016,0.003999471664428711,0.004000663757324219,0.006001472473144531
262200,0.012998342514038086,0.004000425338745117,0.004000425338745117,0.004998683929443359,0.0050008296966552734
265050,0.01299905776977539,0.004000186920166016,0.0040018558502197266,0.003999233245849609,0.004998683929443359
267900,0.014002561569213867,0.0029997825622558594,0.003997802734375,0.0040018558502197266,0.005998849868774414
270750,0.013000249862670898,0.003998994827270508,0.005000114440917969,0.005001068115234375,0.004998445510864258
273600,0.013140439987182617,0.003999948501586914,0.003000020980834961,0.004999876022338867,0.0050008296966552734
276450,0.01399993896484375,0.003999233245849609,0.004000186920166016,0.004001140594482422,0.004998922348022461
279300,0.013999700546264648,0.004000663757324219,0.0040013790130615234,0.003997802734375,0.00600743293762207
282150,0.01399374008178711,0.003999233245849609,0.0039997100830078125,0.004002571105957031,0.005997657775878906
285000,0.014001607894897461,0.003998279571533203,0.004002809524536133,0.003999233245849609,0.006000518798828125
287850,0.014000177383422852,0.004041433334350586,0.004002571105957031,0.0059545040130615234,0.0059986114501953125
290700,0.015001535415649414,0.004038572311401367,0.003960132598876953,0.004999876022338867,0.0050013065338134766
293550,0.014999151229858398,0.0029997825622558594,0.003999948501586914,0.005002498626708984,0.005997896194458008
296400,0.015001773834228516,0.003998279571533203,0.00400233268737793,0.004998922348022461,0.006040096282958984
299250,0.013958454132080078,0.003999948501586914,0.005001068115234375,0.003998756408691406,0.006001710891723633
302100,0.01499795913696289,0.004003286361694336,0.003998756408691406,0.0050008296966552734,0.006038188934326172
304950,0.015959978103637695,0.005001068115234375,0.00599980354309082,0.005002737045288086,0.005996227264404297
307800,0.018000125885009766,0.004001140594482422,0.004999876022338867,0.00699925422668457,0.0060007572174072266
310650,0.017000436782836914,0.005999088287353516,0.005001068115234375,0.004999876022338867,0.00699925422668457
313500,0.015998363494873047,0.004000663757324219,0.005000114440917969,0.004999399185180664,0.005999565124511719
316350,0.016001224517822266,0.003999233245849609,0.004001140594482422,0.004998683929443359,0.0060002803802490234
319200,0.01600050926208496,0.003999233245849609,0.005002260208129883,0.004999637603759766,0.0070002079010009766
322050,0.015998125076293945,0.005001544952392578,0.005998849868774414,0.006000995635986328,0.006999492645263672
324900,0.01999950408935547,0.005001068115234375,0.00500178337097168,0.004997968673706055,0.006999492645263672
327750,0.01699995994567871,0.004000186920166016,0.00500035285949707,0.004999399185180664,0.0070018768310546875
330600,0.015997886657714844,0.004999876022338867,0.0039997100830078125,0.004999637603759766,0.0070002079010009766
333450,0.016000032424926758,0.003999948501586914,0.005002737045288086,0.0049970149993896484,0.0060002803802490234
336300,0.022000551223754883,0.0050013065338134766,0.004998207092285156,0.005001544952392578,0.007000446319580078
339150,0.015997886657714844,0.005001544952392578,0.004000425338745117,0.005998373031616211,0.00599980354309082
342000,0.01699972152709961,0.00500035285949707,0.00500178337097168,0.0050013065338134766,0.0070002079010009766
344850,0.016996383666992188,0.005002737045288086,0.0039975643157958984,0.006001710891723633,0.0069980621337890625
347700,0.017001628875732422,0.003998756408691406,0.004999876022338867,0.00599980354309082,0.006001710891723633
350550,0.017999887466430664,0.004998445510864258,0.004003286361694336,0.005998373031616211,0.006998300552368164
353400,0.018001794815063477,0.00500178337097168,0.005997896194458008,0.005999088287353516,0.007000923156738281
356250,0.0169985294342041,0.005003213882446289,0.003998279571533203,0.006998777389526367,0.00704193115234375
359100,0.016958951950073242,0.004998922348022461,0.007000446319580078,0.005999565124511719,0.00599980354309082
361950,0.01900005340576172,0.0050008296966552734,0.003999233245849609,0.007002115249633789,0.006999969482421875
364800,0.018039226531982422,0.004960060119628906,0.0050013065338134766,0.006039619445800781,0.006960153579711914
367650,0.018998146057128906,0.005000591278076172,0.005001068115234375,0.0069997310638427734,0.007002830505371094
370500,0.01800704002380371,0.004990816116333008,0.004999876022338867,0.0060002803802490234,0.007044792175292969
373350,0.01895451545715332,0.0060007572174072266,0.0060007572174072266,0.0059986114501953125,0.006999492645263672
376200,0.018999099731445312,0.005002021789550781,0.004998922348022461,0.006000518798828125,0.007999658584594727
379050,0.01799798011779785,0.005002260208129883,0.004998683929443359,0.007002115249633789,0.006997585296630859
381900,0.019001007080078125,0.004998445510864258,0.005000591278076172,0.006000995635986328,0.006999015808105469
384750,0.02000284194946289,0.003998279571533203,0.005999326705932617,0.010000944137573242,0.00800013542175293
387600,0.02099919319152832,0.004999399185180664,0.004999637603759766,0.007001638412475586,0.007998228073120117
390450,0.020001888275146484,0.004999637603759766,0.005001544952392578,0.007038593292236328,0.006959676742553711
393300,0.01999974250793457,0.004998445510864258,0.0060002803802490234,0.007002115249633789,0.007048606872558594
396150,0.01955270767211914,0.00500035285949707,0.006001472473144531,0.0070002079010009766,0.00699925422668457
399000,0.018997907638549805,0.0060002803802490234,0.00500035285949707,0.006999969482421875,0.00900125503540039
401850,0.01999831199645996,0.005280971527099609,0.0060405731201171875,0.006000041961669922,0.007998228073120117
404700,0.020999908447265625,0.005003929138183594,0.0049970149993896484,0.0070035457611083984,0.007955312728881836
407550,0.022000551223754883,0.006000995635986328,0.0055010318756103516,0.011002779006958008,0.00800013542175293
410400,0.020157337188720703,0.0060007572174072266,0.00599980354309082,0.00599980354309082,0.00800013542175293
413250,0.021000385284423828,0.006042957305908203,0.005956411361694336,0.00599980354309082,0.008002758026123047
416100,0.020044326782226562,0.0059549808502197266,0.006000995635986328,0.0060443878173828125,0.007996082305908203
418950,0.021956920623779297,0.006000041961669922,0.005999565124511719,0.0070002079010009766,0.007999897003173828
421800,0.020999670028686523,0.005000591278076172,0.006000041961669922,0.0069997310638427734,0.008001565933227539
424650,0.02104353904724121,0.0059549808502197266,0.0070002079010009766,0.007001638412475586,0.007998466491699219
427500,0.020999670028686523,0.006000041961669922,0.006000041961669922,0.00700068473815918,0.007999181747436523
430350,0.020999670028686523,0.006000518798828125,0.006000041961669922,0.0070002079010009766,0.007999658584594727
433200,0.021999835968017578,0.006001710891723633,0.005999326705932617,0.006999969482421875,0.007998943328857422
436050,0.02200150489807129,0.0059986114501953125,0.006000041961669922,0.007000923156738281,0.007998943328857422
438900,0.02200150489807129,0.004998683929443359,0.0060002803802490234,0.0070002079010009766,0.00899958610534668
441750,0.021999835968017578,0.004999876022338867,0.00700068473815918,0.007039546966552734,0.010000944137573242
444600,0.02196025848388672,0.006040811538696289,0.005957841873168945,0.006999969482421875,0.009000062942504883
447450,0.023000001907348633,0.006005048751831055,0.005995035171508789,0.0069997310638427734,0.009000301361083984
450300,0.021999597549438477,0.006000518798828125,0.0070002079010009766,0.007999420166015625,0.00800013542175293
453150,0.02200007438659668,0.0069997310638427734,0.0060007572174072266,0.006999492645263672,0.00899958610534668
456000,0.02400064468383789,0.00599980354309082,0.00599980354309082,0.00800013542175293,0.007999658584594727
458850,0.023000001907348633,0.0060002803802490234,0.006999969482421875,0.007001399993896484,0.009042024612426758
461700,0.023956775665283203,0.006000041961669922,0.006000041961669922,0.007999897003173828,0.00900411605834961
464550,0.022995710372924805,0.00599980354309082,0.0070002079010009766,0.007999897003173828,0.009000539779663086
467400,0.02299952507019043,0.00599980354309082,0.007000446319580078,0.0069997310638427734,0.009000301361083984
470250,0.024000167846679688,0.006000041961669922,0.006999492645263672,0.008000373840332031,0.008999824523925781
473100,0.02400064468383789,0.005999326705932617,0.0069997310638427734,0.00800013542175293,0.009000062942504883
475950,0.02500009536743164,0.00599980354309082,0.0069997310638427734,0.008000373840332031,0.010999917984008789
478800,0.023000240325927734,0.0069997310638427734,0.006000041961669922,0.00800013542175293,0.009999752044677734
481650,0.024000167846679688,0.00599980354309082,0.007002592086791992,0.007997512817382812,0.009999990463256836
484500,0.023999691009521484,0.007000446319580078,0.00599980354309082,0.00800013542175293,0.008999824523925781
487350,0.023999452590942383,0.0060002803802490234,0.009000301361083984,0.007999658584594727,0.010999917984008789
490200,0.026004791259765625,0.01099848747253418,0.008998870849609375,0.010000228881835938,0.011999130249023438
493050,0.029000282287597656,0.006999015808105469,0.007999181747436523,0.009001970291137695,0.010998010635375977
495900,0.02800297737121582,0.007999897003173828,0.006997585296630859,0.008999824523925781,0.009999990463256836
498750,0.02500128746032715,0.006998538970947266,0.00700068473815918,0.008000612258911133,0.008998870849609375
501600,0.02500009536743164,0.0070040225982666016,0.007996320724487305,0.007999420166015625,0.008999824523925781
504450,0.02700018882751465,0.00800013542175293,0.007999897003173828,0.00800013542175293,0.009999752044677734
507300,0.026000499725341797,0.00599980354309082,0.0069997310638427734,0.009000062942504883,0.009000301361083984
510150,0.024999380111694336,0.0070002079010009766,0.006999492645263672,0.00800180435180664,0.009998321533203125
513000,0.026041507720947266,0.00595855712890625,0.00800180435180664,0.010998249053955078,0.009999990463256836
515850,0.025999784469604492,0.006999969482421875,0.007256746292114258,0.009922027587890625,0.011000394821166992
518700,0.026000022888183594,0.0069997310638427734,0.007999897003173828,0.008999824523925781,0.010421991348266602
521550,0.0253908634185791,0.006999492645263672,0.008000612258911133,0.009000301361083984,0.00999903678894043
524400,0.026999950408935547,0.0070002079010009766,0.006999969482421875,0.009001493453979492,0.009998321533203125
527250,0.026000499725341797,0.006999969482421875,0.007999658584594727,0.00800013542175293,0.009999990463256836
530100,0.026999950408935547,0.006999969482421875,0.0070002079010009766,0.008999824523925781,0.012507438659667969
532950,0.027205944061279297,0.008002758026123047,0.0070002079010009766,0.00899958610534668,0.009999752044677734
535800,0.02700042724609375,0.007999897003173828,0.00800013542175293,0.010999679565429688,0.013000011444091797
538650,0.02700042724609375,0.007999658584594727,0.0070002079010009766,0.008999824523925781,0.010999917984008789
541500,0.028000354766845703,0.0069997310638427734,0.007999897003173828,0.00800013542175293,0.011198759078979492
544350,0.02694106101989746,0.007363319396972656,0.007218837738037109,0.010999679565429688,0.012000322341918945
547200,0.02800273895263672,0.00699925422668457,0.007000446319580078,0.008997440338134766,0.011000633239746094
550050,0.026999235153198242,0.0070002079010009766,0.00699925422668457,0.009039640426635742,0.011962890625
552900,0.0270383358001709,0.008005619049072266,0.007995367050170898,0.00895833969116211,0.011000633239746094
555750,0.027999401092529297,0.007999897003173828,0.007999897003173828,0.009000062942504883,0.011000633239746094
558600,0.027999401092529297,0.00800013542175293,0.008000373840332031,0.010999202728271484,0.011000394821166992
561450,0.028999805450439453,0.0070002079010009766,0.007999897003173828,0.010002374649047852,0.010999917984008789
564300,0.02803826332092285,0.007998943328857422,0.008006572723388672,0.009000778198242188,0.010998249053955078
567150,0.028955936431884766,0.006999492645263672,0.00899958610534668,0.008999824523925781,0.013000011444091797
570000,0.0279998779296875,0.006999969482421875,0.00800013542175293,0.009999990463256836,0.010999917984008789
572850,0.0280001163482666,0.009999990463256836,0.009000062942504883,0.01000213623046875,0.010997772216796875
575700,0.028999805450439453,0.008000373840332031,0.00800776481628418,0.008992195129394531,0.012000799179077148
578550,0.034999847412109375,0.009000062942504883,0.010999202728271484,0.010002851486206055,0.010999917984008789
581400,0.030049562454223633,0.008947372436523438,0.00800013542175293,0.009999752044677734,0.011000394821166992
584250,0.03000020980834961,0.009999752044677734,0.01100015640258789,0.014000177383422852,0.012999534606933594
587100,0.029000043869018555,0.00800013542175293,0.009000062942504883,0.009999752044677734,0.012000322341918945
589950,0.02900099754333496,0.007998943328857422,0.009000539779663086,0.009999752044677734,0.010999679565429688
592800,0.031000375747680664,0.007999420166015625,0.00800013542175293,0.010000228881835938,0.012999534606933594
595650,0.029000282287597656,0.008001327514648438,0.008998632431030273,0.009999752044677734,0.01100015640258789
