Text size,Langchain RecursiveCharacterTextSplitter,Our TextSpliter with 64 margin,Our TextSpliter with 256 margin,Our TextSpliter with 512 margin,Our TextSpliter with 1024 margin
2850,0.0010006427764892578,0.0,0.0,0.0,0.0
5700,0.0009992122650146484,0.0,0.0,0.0010058879852294922,0.0
8550,0.0,0.0009958744049072266,0.0,0.0,0.0
11400,0.000997304916381836,0.0009999275207519531,0.0,0.0,0.0010001659393310547
14250,0.001001119613647461,0.0,0.0009996891021728516,0.0,0.0
17100,0.002000570297241211,0.0,0.0009999275207519531,0.0,0.0
19950,0.0009999275207519531,0.0010018348693847656,0.0,0.0009987354278564453,0.0
22800,0.0019986629486083984,0.0010006427764892578,0.000997781753540039,0.0009996891021728516,0.0
25650,0.0010013580322265625,0.0010006427764892578,0.0,0.0010023117065429688,0.0
28500,0.0019979476928710938,0.0,0.0009999275207519531,0.0,0.0009992122650146484
31350,0.0020003318786621094,0.0,0.00099945068359375,0.0,0.0009996891021728516
34200,0.002001047134399414,0.0,0.0009989738464355469,0.0,0.0010008811950683594
37050,0.0019998550415039062,0.0010018348693847656,0.0,0.0009970664978027344,0.0010039806365966797
39900,0.0019986629486083984,0.0,0.0009989738464355469,0.0010001659393310547,0.0
42750,0.002997875213623047,0.0010018348693847656,0.0,0.0009984970092773438,0.001003265380859375
45600,0.002996683120727539,0.0009999275207519531,0.0,0.0009999275207519531,0.0009999275207519531
48450,0.0040013790130615234,0.0,0.0010006427764892578,0.0020020008087158203,0.0009987354278564453
51300,0.002997875213623047,0.001004934310913086,0.0009946823120117188,0.0009996891021728516,0.0010025501251220703
54150,0.0029973983764648438,0.0009999275207519531,0.0,0.001001119613647461,0.0009992122650146484
57000,0.0030002593994140625,0.00099945068359375,0.0010001659393310547,0.0009999275207519531,0.0009999275207519531
59850,0.0030002593994140625,0.0019996166229248047,0.0,0.0010001659393310547,0.0020024776458740234
62700,0.0029990673065185547,0.0010013580322265625,0.0009999275207519531,0.0020008087158203125,0.0009980201721191406
65550,0.003998517990112305,0.0010013580322265625,0.0010004043579101562,0.0009980201721191406,0.0010006427764892578
68400,0.004000425338745117,0.0010006427764892578,0.0009982585906982422,0.002000093460083008,0.0009999275207519531
71250,0.0030012130737304688,0.0019989013671875,0.0009999275207519531,0.0009999275207519531,0.0012099742889404297
74100,0.004004240036010742,0.0019998550415039062,0.0010001659393310547,0.0010008811950683594,0.0019989013671875
76950,0.003999948501586914,0.0010006427764892578,0.0009996891021728516,0.0019998550415039062,0.0009999275207519531
79800,0.004000186920166016,0.0019998550415039062,0.0009999275207519531,0.0020427703857421875,0.001003265380859375
82650,0.004996538162231445,0.001999378204345703,0.0009996891021728516,0.0009987354278564453,0.002000570297241211
85500,0.0049593448638916016,0.0009996891021728516,0.002001047134399414,0.0009989738464355469,0.002048492431640625
88350,0.003951549530029297,0.0020003318786621094,0.0009999275207519531,0.0019998550415039062,0.0009999275207519531
91200,0.005044460296630859,0.000995635986328125,0.0020008087158203125,0.0010001659393310547,0.0019979476928710938
94050,0.003960847854614258,0.003000497817993164,0.0010013580322265625,0.0019979476928710938,0.0020003318786621094
96900,0.0039997100830078125,0.002000093460083008,0.0020008087158203125,0.00099945068359375,0.0019996166229248047
99750,0.0060002803802490234,0.0019998550415039062,0.0009999275207519531,0.0020017623901367188,0.0019986629486083984
102600,0.004999876022338867,0.002000093460083008,0.0009996891021728516,0.002000093460083008,0.0020017623901367188
105450,0.004998207092285156,0.0020024776458740234,0.002000093460083008,0.0009989738464355469,0.002001047134399414
108300,0.006000041961669922,0.0019991397857666016,0.0010008811950683594,0.001999378204345703,0.002044200897216797
111150,0.005997180938720703,0.0019998550415039062,0.002000570297241211,0.001997232437133789,0.001998424530029297
114000,0.005960941314697266,0.0019998550415039062,0.002000093460083008,0.0009996891021728516,0.003000020980834961
116850,0.006048440933227539,0.0019969940185546875,0.001956939697265625,0.0019979476928710938,0.0019996166229248047
119700,0.007001399993896484,0.0029997825622558594,0.0020034313201904297,0.001997232437133789,0.002000570297241211
122550,0.007000446319580078,0.001997232437133789,0.0019998550415039062,0.0020008087158203125,0.003000497817993164
125400,0.007000446319580078,0.0019989013671875,0.0020036697387695312,0.0019996166229248047,0.002996683120727539
128250,0.007999658584594727,0.0020003318786621094,0.002000093460083008,0.0019998550415039062,0.0030028820037841797
131100,0.007998466491699219,0.002000093460083008,0.002000570297241211,0.003999233245849609,0.0031197071075439453
133950,0.0070683956146240234,0.0040166378021240234,0.0019989013671875,0.0030012130737304688,0.001999378204345703
136800,0.007998943328857422,0.003000020980834961,0.0019996166229248047,0.0020012855529785156,0.0030012130737304688
139650,0.007000446319580078,0.0019979476928710938,0.0019996166229248047,0.003002166748046875,0.0019991397857666016
142500,0.006998777389526367,0.003000497817993164,0.0030007362365722656,0.0019986629486083984,0.003000497817993164
145350,0.0069997310638427734,0.003000497817993164,0.0019991397857666016,0.0030014514923095703,0.0029990673065185547
148200,0.008999824523925781,0.003000497817993164,0.0019998550415039062,0.0019998550415039062,0.003000020980834961
151050,0.008999347686767578,0.003000974655151367,0.0019989013671875,0.002000093460083008,0.003000020980834961
153900,0.008002281188964844,0.0029976367950439453,0.002000570297241211,0.0029997825622558594,0.002999544143676758
156750,0.007000446319580078,0.003000974655151367,0.0019986629486083984,0.003000497817993164,0.0029997825622558594
159600,0.007999658584594727,0.0030007362365722656,0.0019996166229248047,0.0029997825622558594,0.0030014514923095703
162450,0.00799870491027832,0.0029997825622558594,0.0030007362365722656,0.0019991397857666016,0.0040013790130615234
165300,0.010506868362426758,0.003999948501586914,0.0029985904693603516,0.0030012130737304688,0.003998517990112305
168150,0.008999347686767578,0.0030007362365722656,0.0019991397857666016,0.003002166748046875,0.0029976367950439453
171000,0.010001182556152344,0.0029993057250976562,0.0020008087158203125,0.0030007362365722656,0.0029990673065185547
173850,0.008998870849609375,0.0030002593994140625,0.0019998550415039062,0.0029997825622558594,0.004001617431640625
176700,0.008998632431030273,0.003000497817993164,0.003000020980834961,0.0019996166229248047,0.004000663757324219
179550,0.011000394821166992,0.0029993057250976562,0.0029997825622558594,0.004000663757324219,0.0040018558502197266
182400,0.009997367858886719,0.0030002593994140625,0.0030012130737304688,0.00299835205078125,0.003999948501586914
185250,0.009002447128295898,0.0029993057250976562,0.0029997825622558594,0.0030014514923095703,0.0029990673065185547
188100,0.009998559951782227,0.0030019283294677734,0.002997875213623047,0.003001689910888672,0.0039980411529541016
190950,0.009000539779663086,0.004000425338745117,0.0030002593994140625,0.003000497817993164,0.0029981136322021484
193800,0.010001182556152344,0.0029985904693603516,0.003000497817993164,0.0029997825622558594,0.004000425338745117
196650,0.009999752044677734,0.004000186920166016,0.0020012855529785156,0.003999471664428711,0.003998517990112305
199500,0.010001420974731445,0.003998994827270508,0.003000020980834961,0.0029997825622558594,0.0040013790130615234
